Date,Tweet
5/26/2022 22:30,"RT @Crow31Darkness: About time action was taken against Anti-White Racism. 
#itsokaytobewhite #antiwhite #WhitePeople #racism 
#CBC #Canada…"
5/26/2022 22:30,The inter-faith leaders took a three-day journey to American civil rights landmarks with one goal: discuss the hist… https://t.co/YputZgKkCu
5/26/2022 22:28,RT @DavidAce13510: #Taylor is not #INDIGENOUS nor does she speak on my behalf!! This is #hate needs to stop! #bullying #AntiWhite #HateCrim…
5/26/2022 22:28,"RT @rauhansotilas2: Trending in Finland today. #Ryssä is a derogatory term for Russians in Finland, it's practically the same as the n-word…"
5/26/2022 22:27,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/26/2022 22:26,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/26/2022 22:25,Hope Has a Dream by Romina Vinci @rominavinciauth  Help Children Say No to Racism https://t.co/OboYuAYfJK… https://t.co/1Ny2fpPCc5
5/26/2022 22:24,RT @ENAREurope: Bwalya went to #Lviv to help refugees fleeing 🇺🇦. After giving up her seat to a Ukrainian mother &amp; her baby in the car that…
5/26/2022 22:24,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/26/2022 22:22,"RT @TravellerRacism: This is the original al @pontins Traveller/Romany surname blacklist, one of which is my own. Racist policies that are…"
5/26/2022 22:21,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/26/2022 22:21,"RT @BeachLFireFord: @fordnation is having a rally in #Hamilton tonight!! He told us all to come!! 
But apparently SOME of us aren’t allowed…"
5/26/2022 22:21,"We're struggling to understand the extent of #racism in #Tauranga. 
When a the question was asked at last night's m… https://t.co/EIaPqsgqI4"
5/26/2022 22:20,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/26/2022 22:20,"RT @dopeblackdads: We welcome the launch of @BlackEquityOrg, a new Black civil rights group dedicated to dismantling systemic #racism in th…"
5/26/2022 22:20,RT @MorganManzer: Racism is alive and well in the legal profession in Canada. No province or territory is immune. Most racism is covert but…
5/26/2022 22:20,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/26/2022 22:19,"RT @VassilisTsarnas: 2009: ""#Plevris` acquittal signals that authorities in Greece fail to take firm action to curb #racism""
https://t.co/C…"
5/26/2022 22:19,"RT @expendablemudge: Never forget the role of #RacismInTech in the #BuffaloMassacre.
ALGORITHMS OF OPPRESSION details #racism in #BigTech &amp;…"
